SA1_CODE_2021,Tot_Tot,Negative_Nil_income_Tot,HI_1500_1749_Tot,HI_2000_2499_Tot
10102100701,119,0,10,19
10102100702,121,0,7,14
10102100703,187,0,12,18
10102100704,220,0,4,20
10102100705,172,0,11,23
10102100706,105,4,10,5
10102100707,174,0,9,16
10102100708,238,5,13,16
10102100709,149,5,8,18
10102100710,235,5,11,21
10102100801,143,0,8,17
10102100802,207,0,6,21
10102100803,137,0,7,11
10102100804,167,0,4,22
10102100805,90,0,4,4
10102100806,145,5,8,18
10102100807,209,6,15,34
10102100808,185,3,8,27
10102100809,0,0,0,0
10102100810,82,0,3,13
10102100811,128,0,9,10
10102100812,90,0,0,7
10102100813,141,5,4,19
10102100814,203,0,12,13
10102100815,222,6,15,28
10102100816,181,4,5,20
10102100817,116,0,15,11
10102100818,111,0,10,15
10102100819,149,0,9,19
10102100820,92,0,6,19
10102100821,144,3,10,15
10102100822,78,0,8,7
10102100823,68,7,4,9
10102100901,103,0,3,17
10102100902,124,4,9,19
10102100904,126,4,3,14
10102100905,166,5,5,14
10102100907,223,0,21,25
10102100908,280,6,22,48
10102100909,306,3,28,40
10102100910,302,3,28,36
10102100911,191,0,12,24
10102100912,118,3,8,15
10102100913,249,0,19,37
10102100914,185,3,12,20
10102100915,394,4,36,48
10102100916,182,0,16,23
10102100917,133,6,8,15
10102100918,219,5,13,22
10102100919,205,0,13,30
10102100920,161,7,12,23
10102100921,213,0,8,34
10102100923,165,0,3,27
10102100924,11,0,0,0
10102100925,222,3,27,40
10102100926,121,0,14,29
10102100927,114,0,5,22
10102100928,184,3,22,18
10102100929,222,6,7,38
10102101001,80,0,3,13
10102101002,123,0,0,13
10102101003,117,0,6,12
10102101004,110,0,3,21
10102101006,268,3,31,31
10102101007,111,0,7,14
10102101008,247,0,20,34
10102101009,152,0,8,16
10102101010,202,0,25,27
10102101011,4,0,0,0
10102101012,47,0,5,5
10102101013,4,0,0,0
10102101014,55,0,0,7
10102101015,343,8,27,43
10102101016,142,0,4,11
10102101017,263,0,23,50
10102101201,74,0,5,11
10102101202,78,0,3,0
10102101203,175,0,3,16
10102101204,102,0,0,12
